Designator,Mid X,Mid Y,Rotation,Layer
TP11_3,113.9,-182.3,180.0,bottom
TP11_2,186.2,-117.8,0.0,bottom
TP11,136.2,-117.8,0.0,bottom
TP12_4,140.25,-168.6,180.0,bottom
TP12_3,190.25,-168.6,180.0,bottom
TP12_2,159.85,-131.5,0.0,bottom
TP12,109.85,-131.5,0.0,bottom
TP13_4,141.15,-165.05,180.0,bottom
TP13_3,191.15,-165.05,180.0,bottom
TP13_2,158.95,-135.05,0.0,bottom
TP13,108.95,-135.05,0.0,bottom
TP14_4,173.9,-183.85,180.0,bottom
TP14_3,123.9,-183.85,180.0,bottom
TP14_2,176.2,-116.25,0.0,bottom
TP14,126.2,-116.25,0.0,bottom
TP15_4,192.3,-162.8,180.0,bottom
TP15_3,142.3,-162.8,180.0,bottom
TP15_2,157.8,-137.3,0.0,bottom
TP15,107.8,-137.3,0.0,bottom
TP16_4,171.05,-182.85,180.0,bottom
TP16_3,121.05,-182.85,180.0,bottom
TP16_2,179.05,-117.25,0.0,bottom
TP16,129.05,-117.25,0.0,bottom
TP17_4,171.7,-185.75,180.0,bottom
TP17_3,121.7,-185.75,180.0,bottom
TP17_2,178.4,-114.35,0.0,bottom
TP17,128.4,-114.35,0.0,bottom
TP18_4,183.65,-174.75,180.0,bottom
TP18_3,133.65,-174.75,180.0,bottom
TP18_2,166.45,-125.35,0.0,bottom
TP18,116.45,-125.35,0.0,bottom
TP19_4,136.0,-175.65,180.0,bottom
TP19_3,186.0,-175.65,180.0,bottom
TP19_2,164.1,-124.45,0.0,bottom
TP19,114.1,-124.45,0.0,bottom
TP2_4,109.0,-168.8,180.0,bottom
TP2_3,159.0,-168.8,180.0,bottom
TP2_2,191.1,-131.3,0.0,bottom
TP2,141.1,-131.3,0.0,bottom
TP21_4,185.8,-165.3,180.0,bottom
TP21_3,135.8,-165.3,180.0,bottom
TP21_2,164.3,-134.8,0.0,bottom
TP21,114.3,-134.8,0.0,bottom
TP22_4,178.5,-185.75,180.0,bottom
TP22_3,128.5,-185.75,180.0,bottom
TP22_2,171.6,-114.35,0.0,bottom
TP22,121.6,-114.35,0.0,bottom
TP23_4,126.35,-184.45,180.0,bottom
TP23_3,176.35,-184.45,180.0,bottom
TP23_2,173.75,-115.65,0.0,bottom
TP23,123.75,-115.65,0.0,bottom
TP3_4,130.05,-176.55,180.0,bottom
TP3_3,180.05,-176.55,180.0,bottom
TP3_2,170.05,-123.55,0.0,bottom
TP3,120.05,-123.55,0.0,bottom
TP4_4,117.6,-185.5,180.0,bottom
TP4_3,167.6,-185.5,180.0,bottom
TP4_2,182.5,-114.6,0.0,bottom
TP4,132.5,-114.6,0.0,bottom
TP5_4,103.35,-187.7,180.0,bottom
TP5_3,153.35,-187.7,180.0,bottom
TP5_2,196.75,-112.4,0.0,bottom
TP5,146.75,-112.4,0.0,bottom
TP6_4,117.6,-190.5,180.0,bottom
TP6_3,167.6,-190.5,180.0,bottom
TP6_2,182.5,-109.6,0.0,bottom
TP6,132.5,-109.6,0.0,bottom
TP7_4,167.6,-188.0,180.0,bottom
TP7_3,117.6,-188.0,180.0,bottom
TP7_2,182.5,-112.1,0.0,bottom
TP7,132.5,-112.1,0.0,bottom
TP8_4,191.4,-179.8,180.0,bottom
TP8_3,141.4,-179.8,180.0,bottom
TP8_2,158.7,-120.3,0.0,bottom
TP8,108.7,-120.3,0.0,bottom
